,URI,TrackName,ArtistURI,ArtistName,ArtistPopularity,ArtistGenres,Album,TrackPopularity,Explicit,ReleaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,spotify:track:0KmgJyW4GDgonqsoyx0CZ3,Astronomy,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,78,"['bedroom pop', 'pop', 'pov: indie']",Astronomy,68,False,2021-05-07,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11e-05,0.297,0.111,145.252,audio_features,0KmgJyW4GDgonqsoyx0CZ3,spotify:track:0KmgJyW4GDgonqsoyx0CZ3,https://api.spotify.com/v1/tracks/0KmgJyW4GDgonqsoyx0CZ3,https://api.spotify.com/v1/audio-analysis/0KmgJyW4GDgonqsoyx0CZ3,243907,3
1,spotify:track:3m3ylOXgB3v9xmDSIJyx9S,The Shining,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,82,"['modern alternative rock', 'modern rock', 'pop']",Chip Chrome & The Mono-Tones (Deluxe),58,False,2020-12-11,0.627,0.685,10,-6.871,1,0.0272,0.0534,0.756,0.096,0.552,96.989,audio_features,3m3ylOXgB3v9xmDSIJyx9S,spotify:track:3m3ylOXgB3v9xmDSIJyx9S,https://api.spotify.com/v1/tracks/3m3ylOXgB3v9xmDSIJyx9S,https://api.spotify.com/v1/audio-analysis/3m3ylOXgB3v9xmDSIJyx9S,214693,4
2,spotify:track:2lTtnKQgjbrBA1qnOFhBkP,affection,spotify:artist:2HkSsS8O2U2gPhnCGVN5vn,BETWEEN FRIENDS,57,"['indie pop', 'la pop', 'pov: indie']",we just need some time together,1,False,2018-04-05,0.273,0.565,2,-7.283,1,0.248,0.516,1.68e-06,0.0855,0.298,179.518,audio_features,2lTtnKQgjbrBA1qnOFhBkP,spotify:track:2lTtnKQgjbrBA1qnOFhBkP,https://api.spotify.com/v1/tracks/2lTtnKQgjbrBA1qnOFhBkP,https://api.spotify.com/v1/audio-analysis/2lTtnKQgjbrBA1qnOFhBkP,235226,4
3,spotify:track:7DCQIOmpGV4nkHx7DQckJS,Bloom Later,spotify:artist:4as3khXWaPjfkFdCA0JWMo,Jesse®,51,['modern alternative pop'],&,60,False,2017-11-10,0.513,0.318,0,-10.451,1,0.0314,0.796,0.0,0.177,0.249,81.923,audio_features,7DCQIOmpGV4nkHx7DQckJS,spotify:track:7DCQIOmpGV4nkHx7DQckJS,https://api.spotify.com/v1/tracks/7DCQIOmpGV4nkHx7DQckJS,https://api.spotify.com/v1/audio-analysis/7DCQIOmpGV4nkHx7DQckJS,160307,3
4,spotify:track:6uaBrivDHCaV0uBTiwHTUi,Comfort Crowd,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,78,"['bedroom pop', 'pop', 'pov: indie']",Kid Krow,67,False,2020-03-20,0.678,0.431,0,-6.749,1,0.0326,0.163,1.94e-06,0.147,0.404,90.941,audio_features,6uaBrivDHCaV0uBTiwHTUi,spotify:track:6uaBrivDHCaV0uBTiwHTUi,https://api.spotify.com/v1/tracks/6uaBrivDHCaV0uBTiwHTUi,https://api.spotify.com/v1/audio-analysis/6uaBrivDHCaV0uBTiwHTUi,174680,4
5,spotify:track:2g0Bmi3kYEntusDP6xlAGZ,striptease,spotify:artist:53k2km8u55n9YaJJB7scjX,carwash,50,[],striptease,7,True,2019-11-05,0.693,0.572,8,-8.89,1,0.0749,0.127,0.952,0.102,0.732,130.05,audio_features,2g0Bmi3kYEntusDP6xlAGZ,spotify:track:2g0Bmi3kYEntusDP6xlAGZ,https://api.spotify.com/v1/tracks/2g0Bmi3kYEntusDP6xlAGZ,https://api.spotify.com/v1/audio-analysis/2g0Bmi3kYEntusDP6xlAGZ,160659,4
6,spotify:track:7rymj8PopRWOI2kBdjPG9q,Bad Texter,spotify:artist:2Zgc1KUqd7A9wmQ7mQHuwY,Ryan Woods,38,['modern indie pop'],Bad Texter,0,False,2020-06-17,0.611,0.632,11,-7.25,1,0.0428,0.0455,7.47e-05,0.339,0.619,95.076,audio_features,7rymj8PopRWOI2kBdjPG9q,spotify:track:7rymj8PopRWOI2kBdjPG9q,https://api.spotify.com/v1/tracks/7rymj8PopRWOI2kBdjPG9q,https://api.spotify.com/v1/audio-analysis/7rymj8PopRWOI2kBdjPG9q,193208,4
7,spotify:track:2wXioTynVwrEWYRv6R6vEj,Void,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,82,"['modern alternative rock', 'modern rock', 'pop']",Hard To Imagine The Neighbourhood Ever Changing,67,False,2018-11-02,0.534,0.582,5,-7.912,1,0.0401,0.047,0.0328,0.0883,0.346,84.183,audio_features,2wXioTynVwrEWYRv6R6vEj,spotify:track:2wXioTynVwrEWYRv6R6vEj,https://api.spotify.com/v1/tracks/2wXioTynVwrEWYRv6R6vEj,https://api.spotify.com/v1/audio-analysis/2wXioTynVwrEWYRv6R6vEj,203667,4
8,spotify:track:0NuWgxEp51CutD2pJoF4OM,blind,spotify:artist:1dy5WNgIKQU6ezkpZs4y8z,ROLE MODEL,56,"['alt z', 'bedroom pop', 'pov: indie']",our little angel - EP,66,False,2020-10-21,0.765,0.663,0,-5.223,1,0.0652,0.141,0.000297,0.0924,0.686,150.091,audio_features,0NuWgxEp51CutD2pJoF4OM,spotify:track:0NuWgxEp51CutD2pJoF4OM,https://api.spotify.com/v1/tracks/0NuWgxEp51CutD2pJoF4OM,https://api.spotify.com/v1/audio-analysis/0NuWgxEp51CutD2pJoF4OM,153293,4
9,spotify:track:5tiZBnx5IvETA0Pj3gELjn,me & ur ghost,spotify:artist:2cFrymmkijnjDg9SS92EPM,blackbear,74,['pop'],everything means nothing,63,True,2020-08-21,0.742,0.679,7,-4.594,1,0.0259,0.0488,0.0,0.0754,0.856,100.041,audio_features,5tiZBnx5IvETA0Pj3gELjn,spotify:track:5tiZBnx5IvETA0Pj3gELjn,https://api.spotify.com/v1/tracks/5tiZBnx5IvETA0Pj3gELjn,https://api.spotify.com/v1/audio-analysis/5tiZBnx5IvETA0Pj3gELjn,201398,4
