,URI,TrackName,ArtistURI,ArtistName,ArtistPopularity,ArtistGenres,Album,TrackPopularity,Explicit
0,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,78,"['alt z', 'pop']",greedy,89,True
1,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Strangers,spotify:artist:7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,73,[],Strangers,92,False
2,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,89,"['dance pop', 'pop']",Paint The Town Red,100,True
3,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,fukumean,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,Gunna,85,"['atl hip hop', 'melodic rap', 'rap', 'trap']",a Gift & a Curse,95,True
4,spotify:track:4PMdq7Q7xOFrY424ZelZEb,Radio,spotify:artist:00FQb4jTyendYWaN8pK0wa,Lana Del Rey,90,"['art pop', 'pop']",Born To Die - The Paradise Edition,73,True
5,spotify:track:73RbfOTJIjHzi2pcVHjeHM,What It Is (Solo Version),spotify:artist:4E2rKHVDssGJm2SCDOMMJB,Doechii,73,['alternative r&b'],What It Is (Versions),88,True
6,spotify:track:4TNFLwe6DhtR3Wn1JKMqMJ,Makeba,spotify:artist:2HHmvvSQ44ePDH7IKVzgK0,Jain,70,['french pop'],Zanaka (Deluxe),79,False
7,spotify:track:59NraMJsLaMCVtwXTSia8i,Prada,spotify:artist:5wCmhq5J2hPwL2r0eKurxn,cassö,72,[],Prada,91,True
8,spotify:track:741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],spotify:artist:0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,86,"['hip pop', 'pop', 'queens hip hop', 'rap']",Barbie World (with Aqua) [From Barbie The Album],92,True
9,spotify:track:2i2gDpKKWjvnRTOZRhaPh2,Moonlight,spotify:artist:1U1el3k54VvEUzo3ybLPlM,Kali Uchis,84,['colombian pop'],Moonlight,87,False
10,spotify:track:3XKIUb7HzIF1Vu9usunMzc,Maria Maria,spotify:artist:6GI52t8N5F02MxU0g5U69P,Santana,70,"['blues rock', 'classic rock', 'mexican classic rock']",Supernatural (Remastered),79,False
11,spotify:track:2FDTHlrBguDzQkp7PVj16Q,Sprinter,spotify:artist:6Ip8FS7vWT1uKkJSweANQK,Dave,81,['uk hip hop'],Sprinter,94,True
12,spotify:track:5LrN7yUQAzvthd4QujgPFr,Here With Me,spotify:artist:5y8tKLUfMvliMe8IKamR32,d4vd,77,"['bedroom pop', 'bedroom r&b']",Petals to Thorns,89,False
13,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Pink + White,spotify:artist:2h93pZq0e7k5yf4dywlkpM,Frank Ocean,83,"['lgbtq+ hip hop', 'neo soul']",Blonde,89,False
14,spotify:track:1odExI7RdWc4BT515LTAwj,Daylight,spotify:artist:33NVpKoXjItPwUJTMZIOiY,David Kushner,77,['gen z singer-songwriter'],Daylight,94,False
15,spotify:track:3IX0yuEVvDbnqUwMBB3ouC,bad idea right?,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,91,['pop'],GUTS,92,True
16,spotify:track:50x1Ic8CaXkYNvjmxe3WXy,Those Eyes,spotify:artist:69bG9tC62d8oTFC9aTTosn,New West,70,['toronto indie'],Those Eyes,88,False
17,spotify:track:7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",84,"['hip hop', 'rap']",Flower Boy,91,True
18,spotify:track:6njJR3OIp3oA0Kc4aC9Tzf,MONTAGEM - PR FUNK,spotify:artist:6zFMFB1JvNHkHvCSudF4id,S3BZS,71,[],MONTAGEM - PR FUNK,88,False
19,spotify:track:7sliFe6W30tPBPh6dvZsIH,Area Codes,spotify:artist:1YRqgFNXqRyMDRr8ClS1NL,Kaliii,67,['rap'],Area Codes,82,True
20,spotify:track:5odlY52u43F5BjByhxg7wg,golden hour,spotify:artist:164Uj4eKjl6zTBKfJLFKKK,JVKE,77,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']",this is what ____ feels like (Vol. 1-4),85,False
21,spotify:track:6UN73IYd0hZxLi8wFPMQij,Players,spotify:artist:6AMd49uBDJfhf30Ak2QR5s,Coi Leray,76,"['new jersey underground rap', 'trap queen']",Players,81,True
22,spotify:track:3xIMkM5LgbVDkpO74O3Np3,Rush,spotify:artist:3WGpXCj9YhhfX11TToZcXP,Troye Sivan,77,"['australian pop', 'pop', 'viral pop']",Rush,88,True
23,spotify:track:22I3h5AOENlH4CqXJsEbFR,Collide (feat. Tyga),spotify:artist:0jUQSUOcM7lxVn5eVGTkzQ,Justine Skye,67,"['pop r&b', 'r&b']",Collide (feat. Tyga),76,True
24,spotify:track:424DkevE18QJazwlljiTD4,Le Monde,spotify:artist:6jlwBcuB3gOuSR4Hb6MmVU,Richard Carter,61,[],Talk to Me (Original Soundtrack),81,False
