URI,TrackName,ArtistURI,ArtistName,ArtistPopularity,ArtistGenres,Album,TrackPopularity,Explicit,ReleaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
spotify:track:1JgknGBbrfmEHeOZH051SS,ecstacy (slowed),spotify:artist:6KOszWgIriJLaPOySuBOTI,SUICIDAL-IDOL,66,['scenecore'],ecstacy (slowed),83,True,2023-06-06,0.551,0.677,2,-7.311,1,0.0665,0.0173,0.0,0.381,0.195,106.414,audio_features,1JgknGBbrfmEHeOZH051SS,spotify:track:1JgknGBbrfmEHeOZH051SS,https://api.spotify.com/v1/tracks/1JgknGBbrfmEHeOZH051SS,https://api.spotify.com/v1/audio-analysis/1JgknGBbrfmEHeOZH051SS,119120,4
spotify:track:424DkevE18QJazwlljiTD4,Le Monde,spotify:artist:6jlwBcuB3gOuSR4Hb6MmVU,Richard Carter,62,[],Talk to Me (Original Soundtrack),81,False,2023-08-04,0.763,0.468,11,-13.288,0,0.129,0.146,0.869,0.108,0.512,97.599,audio_features,424DkevE18QJazwlljiTD4,spotify:track:424DkevE18QJazwlljiTD4,https://api.spotify.com/v1/tracks/424DkevE18QJazwlljiTD4,https://api.spotify.com/v1/audio-analysis/424DkevE18QJazwlljiTD4,134853,3
spotify:track:4Fv6wNYUixnYkj3Dgfrls8,Tumblr Girls (feat. Christoph Andersson),spotify:artist:02kJSzxNuaWGqwubyUba0Z,G-Eazy,74,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",These Things Happen,81,True,2014-06-20,0.49,0.373,8,-9.762,1,0.26,0.101,0.000105,0.128,0.346,121.889,audio_features,4Fv6wNYUixnYkj3Dgfrls8,spotify:track:4Fv6wNYUixnYkj3Dgfrls8,https://api.spotify.com/v1/tracks/4Fv6wNYUixnYkj3Dgfrls8,https://api.spotify.com/v1/audio-analysis/4Fv6wNYUixnYkj3Dgfrls8,255680,4
spotify:track:43MifzVnh8W3jJN0xqU9jR,Wasted Summers,spotify:artist:496w0Fyed8J7IRzn5Ffb6x,juju<3,64,[],Wasted Summers,83,False,2023-07-12,0.633,0.643,0,-8.122,1,0.0252,0.106,0.00831,0.78,0.472,103.842,audio_features,43MifzVnh8W3jJN0xqU9jR,spotify:track:43MifzVnh8W3jJN0xqU9jR,https://api.spotify.com/v1/tracks/43MifzVnh8W3jJN0xqU9jR,https://api.spotify.com/v1/audio-analysis/43MifzVnh8W3jJN0xqU9jR,130385,4
spotify:track:0HDO6JFfplYPrSWuufUosZ,Amour plastique,spotify:artist:3rp4f58JlRHkk8hpdLCer1,Videoclub,60,"['french indie pop', 'french synthpop']",Euphories,65,False,2021-01-29,0.696,0.354,6,-14.043,0,0.0353,0.767,0.00158,0.128,0.242,119.938,audio_features,0HDO6JFfplYPrSWuufUosZ,spotify:track:0HDO6JFfplYPrSWuufUosZ,https://api.spotify.com/v1/tracks/0HDO6JFfplYPrSWuufUosZ,https://api.spotify.com/v1/audio-analysis/0HDO6JFfplYPrSWuufUosZ,227027,4
spotify:track:65leXqfkdViSssEVN23uYL,Mama's Boy,spotify:artist:6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,77,"['alternative pop rock', 'pov: indie']",Mama's Boy,79,False,2023-06-23,0.807,0.354,9,-7.554,1,0.0321,0.15,0.713,0.186,0.602,78.964,audio_features,65leXqfkdViSssEVN23uYL,spotify:track:65leXqfkdViSssEVN23uYL,https://api.spotify.com/v1/tracks/65leXqfkdViSssEVN23uYL,https://api.spotify.com/v1/audio-analysis/65leXqfkdViSssEVN23uYL,155722,4
spotify:track:71BWZa1liIRyUiuJ3MB66o,I Know You,spotify:artist:5szilpXHcwOqnyKLqGco5j,Faye Webster,70,"['atlanta indie', 'indie pop']",Faye Webster,82,False,2017-05-12,0.454,0.385,10,-12.849,1,0.0313,0.287,9.97e-05,0.0616,0.144,154.918,audio_features,71BWZa1liIRyUiuJ3MB66o,spotify:track:71BWZa1liIRyUiuJ3MB66o,https://api.spotify.com/v1/tracks/71BWZa1liIRyUiuJ3MB66o,https://api.spotify.com/v1/audio-analysis/71BWZa1liIRyUiuJ3MB66o,251667,4
spotify:track:5mjYQaktjmjcMKcUIcqz4s,Strangers,spotify:artist:7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,74,['singer-songwriter pop'],Strangers,94,False,2023-09-01,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,5mjYQaktjmjcMKcUIcqz4s,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965,4
spotify:track:4YQgOgIElFtEvwJQ9ArWL7,FΛSHION,spotify:artist:7GtPtPbDC5CLNzSNxVpqaf,Britney Manson,59,[],FΛSHION,78,True,2023-08-11,0.752,0.647,10,-6.258,1,0.0316,0.000915,0.00167,0.706,0.253,119.999,audio_features,4YQgOgIElFtEvwJQ9ArWL7,spotify:track:4YQgOgIElFtEvwJQ9ArWL7,https://api.spotify.com/v1/tracks/4YQgOgIElFtEvwJQ9ArWL7,https://api.spotify.com/v1/audio-analysis/4YQgOgIElFtEvwJQ9ArWL7,146531,4
spotify:track:7nn4MXs89QymmNzRreTywe,Ick,spotify:artist:4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,58,['jersey club'],Now You See Me,70,True,2023-08-09,0.92,0.759,2,-3.349,1,0.108,0.274,7.38e-06,0.259,0.598,137.961,audio_features,7nn4MXs89QymmNzRreTywe,spotify:track:7nn4MXs89QymmNzRreTywe,https://api.spotify.com/v1/tracks/7nn4MXs89QymmNzRreTywe,https://api.spotify.com/v1/audio-analysis/7nn4MXs89QymmNzRreTywe,115725,4
